date,series_id,value,industry,quarter,index
2020-06-20,A3538840W,58948,"Professional, scientific and technical services",2020-04-01,99.60124357934576
2020-06-20,A3538846K,5930,Arts and recreation services,2020-04-01,57.35009671179884
2020-06-20,A3538849T,13905,Other services,2020-04-01,83.06947846346854
2020-09-20,A3538807V,110109,Mining,2020-07-01,96.91669894025279
2020-09-20,A3538810J,110282,Manufacturing,2020-07-01,98.23364361109874
2020-09-20,A3538813R,24550,"Electricity, gas, water and waste services",2020-07-01,101.42113525572172
2020-09-20,A3538816W,102777,Construction,2020-07-01,89.78666526889612
2020-09-20,A3538819C,161863,Wholesale trade,2020-07-01,97.93556194221752
2020-09-20,A3538822T,126747,Retail trade,2020-07-01,97.9921759030183
2020-09-20,A3538825X,25773,Accommodation and food services,2020-07-01,82.54227517294389
2020-09-20,A3538828F,33898,"Transport, postal and warehousing",2020-07-01,83.4124855434435
2020-09-20,A3538831V,17393,Information media and telecommunications,2020-07-01,95.59744970869518
2020-09-20,A3538834A,16475,Financial and insurance services,2020-07-01,105.050054198814
2020-09-20,A3538837J,26745,"Rental, hiring and real estate services",2020-07-01,93.02932275905249
2020-09-20,A3538840W,60161,"Professional, scientific and technical services",2020-07-01,101.6507839956745
2020-09-20,A3538846K,7595,Arts and recreation services,2020-07-01,73.45261121856866
2020-09-20,A3538849T,14747,Other services,2020-07-01,88.09964752972101
2020-12-20,A3538807V,110044,Mining,2020-10-01,96.8594866739429
2020-12-20,A3538810J,112705,Manufacturing,2020-10-01,100.39192980893422
2020-12-20,A3538813R,24664,"Electricity, gas, water and waste services",2020-10-01,101.89209286953648
2020-12-20,A3538816W,103196,Construction,2020-10-01,90.15270643323899
2020-12-20,A3538819C,170362,Wholesale trade,2020-10-01,103.07790046891544
2020-12-20,A3538822T,131783,Retail trade,2020-10-01,101.88566922315685
2020-12-20,A3538825X,28412,Accommodation and food services,2020-10-01,90.99410709710479
2020-12-20,A3538828F,36112,"Transport, postal and warehousing",2020-10-01,88.86045424346071
2020-12-20,A3538831V,18332,Information media and telecommunications,2020-10-01,100.75849181048697
2020-12-20,A3538834A,17426,Financial and insurance services,2020-10-01,111.11394503602627
2020-12-20,A3538837J,28198,"Rental, hiring and real estate services",2020-10-01,98.08341159692512
2020-12-20,A3538840W,62338,"Professional, scientific and technical services",2020-10-01,105.32914301162477
2020-12-20,A3538846K,8531,Arts and recreation services,2020-10-01,82.50483558994198
2020-12-20,A3538849T,15884,Other services,2020-10-01,94.8921679909194
2021-03-20,A3538807V,112431,Mining,2021-01-01,98.9604971305848
2021-03-20,A3538810J,113744,Manufacturing,2021-01-01,101.31741860775843
2021-03-20,A3538813R,23990,"Electricity, gas, water and waste services",2021-01-01,99.1076592580352
2021-03-20,A3538816W,107677,Construction,2021-01-01,94.06733759653353
2021-03-20,A3538819C,174651,Wholesale trade,2021-01-01,105.67296929360157
2021-03-20,A3538822T,131941,Retail trade,2021-01-01,102.0078240969817
2021-03-20,A3538825X,29501,Accommodation and food services,2021-01-01,94.48180886497566
2021-03-20,A3538828F,39139,"Transport, postal and warehousing",2021-01-01,96.30896429538129
2021-03-20,A3538831V,18243,Information media and telecommunications,2021-01-01,100.26931955589755
2021-03-20,A3538834A,18659,Financial and insurance services,2021-01-01,118.97596123190716
2021-03-20,A3538837J,30131,"Rental, hiring and real estate services",2021-01-01,104.80712372604265
2021-03-20,A3538840W,62824,"Professional, scientific and technical services",2021-01-01,106.15031089483644
2021-03-20,A3538846K,9269,Arts and recreation services,2021-01-01,89.642166344294
2021-03-20,A3538849T,16720,Other services,2021-01-01,99.88649262202043
2021-06-20,A3538807V,111203,Mining,2021-04-01,97.87962539168397
2021-06-20,A3538810J,114404,Manufacturing,2021-04-01,101.90531332115975
2021-06-20,A3538813R,26061,"Electricity, gas, water and waste services",2021-04-01,107.6633892423366
2021-06-20,A3538816W,110861,Construction,2021-04-01,96.84890100290038
2021-06-20,A3538819C,175356,Wholesale trade,2021-04-01,106.09953108455605
2021-06-20,A3538822T,132493,Retail trade,2021-04-01,102.43459302325581
2021-06-20,A3538825X,30304,Accommodation and food services,2021-04-01,97.0535485523956
2021-06-20,A3538828F,40284,"Transport, postal and warehousing",2021-04-01,99.12645488324024
2021-06-20,A3538831V,18498,Information media and telecommunications,2021-04-01,101.67088051005827
2021-06-20,A3538834A,18318,Financial and insurance services,2021-04-01,116.80163234075113
2021-06-20,A3538837J,30494,"Rental, hiring and real estate services",2021-04-01,106.06977634004662
2021-06-20,A3538840W,63011,"Professional, scientific and technical services",2021-04-01,106.46627466882941
2021-06-20,A3538846K,9174,Arts and recreation services,2021-04-01,88.72340425531915
2021-06-20,A3538849T,17064,Other services,2021-04-01,101.94157357070314
2021-09-20,A3538807V,112162,Mining,2021-07-01,98.72372636693306
2021-09-20,A3538810J,113620,Manufacturing,2021-07-01,101.20696566160424
2021-09-20,A3538813R,26041,"Electricity, gas, water and waste services",2021-07-01,107.58076509956209
2021-09-20,A3538816W,109172,Construction,2021-07-01,95.37337945976168
2021-09-20,A3538819C,165085,Wholesale trade,2021-07-01,99.8850400847073
2021-09-20,A3538822T,125569,Retail trade,2021-07-01,97.08142627412172
2021-09-20,A3538825X,22429,Accommodation and food services,2021-07-01,71.83256469382526
2021-09-20,A3538828F,37722,"Transport, postal and warehousing",2021-07-01,92.82216589975147
2021-09-20,A3538831V,18759,Information media and telecommunications,2021-07-01,103.10541936902275
2021-09-20,A3538834A,19556,Financial and insurance services,2021-07-01,124.69553019192756
2021-09-20,A3538837J,30063,"Rental, hiring and real estate services",2021-07-01,104.57059375978295
2021-09-20,A3538840W,62441,"Professional, scientific and technical services",2021-07-01,105.50317653419843
2021-09-20,A3538846K,8297,Arts and recreation services,2021-07-01,80.24177949709865
2021-09-20,A3538849T,14943,Other services,2021-07-01,89.27056574466815
2021-12-20,A3538807V,111838,Mining,2021-10-01,98.43854522409605
2021-12-20,A3538810J,115027,Manufacturing,2021-10-01,102.46025030062798
2021-12-20,A3538813R,25874,"Electricity, gas, water and waste services",2021-10-01,106.89085350739487
2021-12-20,A3538816W,108880,Construction,2021-10-01,95.11828633329839
2021-12-20,A3538819C,173227,Wholesale trade,2021-10-01,104.81137498109211
2021-12-20,A3538822T,133721,Retail trade,2021-10-01,103.38399925779318
2021-12-20,A3538825X,28822,Accommodation and food services,2021-10-01,92.30719959005893
2021-12-20,A3538828F,38781,"Transport, postal and warehousing",2021-10-01,95.42803710721229
2021-12-20,A3538831V,20356,Information media and telecommunications,2021-10-01,111.88303836429593
2021-12-20,A3538834A,21465,Financial and insurance services,2021-10-01,136.86794618376587
2021-12-20,A3538837J,30968,"Rental, hiring and real estate services",2021-10-01,107.71852934015097
2021-12-20,A3538840W,65152,"Professional, scientific and technical services",2021-10-01,110.0838064341714
2021-12-20,A3538846K,9508,Arts and recreation services,2021-10-01,91.95357833655706
2021-12-20,A3538849T,17232,Other services,2021-10-01,102.94521775494354
2022-03-20,A3538807V,111827,Mining,2022-01-01,98.42886314825898
2022-03-20,A3538810J,113262,Manufacturing,2022-01-01,100.88807731706231
2022-03-20,A3538813R,25368,"Electricity, gas, water and waste services",2022-01-01,104.80046269519954
2022-03-20,A3538816W,111139,Construction,2022-01-01,97.09176363699899
2022-03-20,A3538819C,177830,Wholesale trade,2022-01-01,107.59643019210407
2022-03-20,A3538822T,135408,Retail trade,2022-01-01,104.68827313211281
2022-03-20,A3538825X,29368,Accommodation and food services,2022-01-01,94.05585447091981
2022-03-20,A3538828F,41716,"Transport, postal and warehousing",2022-01-01,102.65016363591624
2022-03-20,A3538831V,21215,Information media and telecommunications,2022-01-01,116.60437506870397
2022-03-20,A3538834A,19363,Financial and insurance services,2022-01-01,123.46489829751961
2022-03-20,A3538837J,30708,"Rental, hiring and real estate services",2022-01-01,106.8141500573933
2022-03-20,A3538840W,67016,"Professional, scientific and technical services",2022-01-01,113.23330629899974
2022-03-20,A3538846K,10184,Arts and recreation services,2022-01-01,98.49129593810444
2022-03-20,A3538849T,17154,Other services,2022-01-01,102.4792400979748
2022-06-20,A3538807V,113798,Mining,2022-04-01,100.16371510051755
2022-06-20,A3538810J,113458,Manufacturing,2022-04-01,101.06266423195119
2022-06-20,A3538813R,27700,"Electricity, gas, water and waste services",2022-04-01,114.43443774270843
2022-06-20,A3538816W,111404,Construction,2022-04-01,97.32326938533039
2022-06-20,A3538819C,173869,Wholesale trade,2022-04-01,105.19981848434428
2022-06-20,A3538822T,136106,Retail trade,2022-04-01,105.22791934685799
2022-06-20,A3538825X,32703,Accommodation and food services,2022-04-01,104.73674096848578
2022-06-20,A3538828F,43604,"Transport, postal and warehousing",2022-04-01,107.29594724279633
2022-06-20,A3538831V,21786,Information media and telecommunications,2022-04-01,119.7427723425305
2022-06-20,A3538834A,18715,Financial and insurance services,2022-04-01,119.33303577121724
2022-06-20,A3538837J,30847,"Rental, hiring and real estate services",2022-04-01,107.29764513548297
2022-06-20,A3538840W,67615,"Professional, scientific and technical services",2022-04-01,114.24540416328738
2022-06-20,A3538846K,10699,Arts and recreation services,2022-04-01,103.47195357833655
2022-06-20,A3538849T,17407,Other services,2022-04-01,103.99068044686062
2022-09-20,A3538807V,113748,Mining,2022-07-01,100.11970566489455
2022-09-20,A3538810J,112169,Manufacturing,2022-07-01,99.91448804168708
2022-09-20,A3538813R,27597,"Electricity, gas, water and waste services",2022-07-01,114.00892340741964
2022-09-20,A3538816W,109505,Construction,2022-07-01,95.66429045672153
2022-09-20,A3538819C,176731,Wholesale trade,2022-07-01,106.93147783996369
2022-09-20,A3538822T,138923,Retail trade,2022-07-01,107.40583250865907
2022-09-20,A3538825X,33075,Accommodation and food services,2022-07-01,105.92813220599538
2022-09-20,A3538828F,44825,"Transport, postal and warehousing",2022-07-01,110.30045030635597
2022-09-20,A3538831V,22369,Information media and telecommunications,2022-07-01,122.9471254259646
2022-09-20,A3538834A,18626,Financial and insurance services,2022-07-01,118.76554230695658
2022-09-20,A3538837J,30301,"Rental, hiring and real estate services",2022-07-01,105.39844864169189
2022-09-20,A3538840W,68506,"Professional, scientific and technical services",2022-07-01,115.75087861584213
2022-09-20,A3538846K,10429,Arts and recreation services,2022-07-01,100.86073500967117
2022-09-20,A3538849T,17402,Other services,2022-07-01,103.96081008423442
2022-12-20,A3538807V,119538,Mining,2022-10-01,105.21599831003768
2022-12-20,A3538810J,110965,Manufacturing,2022-10-01,98.84202556451254
2022-12-20,A3538813R,27524,"Electricity, gas, water and waste services",2022-10-01,113.70734528629265
2022-12-20,A3538816W,109163,Construction,2022-10-01,95.36551700038439
2022-12-20,A3538819C,175662,Wholesale trade,2022-10-01,106.28467705339585
2022-12-20,A3538822T,138818,Retail trade,2022-10-01,107.32465363681347
2022-12-20,A3538825X,34691,Accommodation and food services,2022-10-01,111.10363822700486
2022-12-20,A3538828F,43877,"Transport, postal and warehousing",2022-10-01,107.96771574103694
2022-12-20,A3538831V,22980,Information media and telecommunications,2022-10-01,126.30537539848302
2022-12-20,A3538834A,18751,Financial and insurance services,2022-10-01,119.56258368934515
2022-12-20,A3538837J,30778,"Rental, hiring and real estate services",2022-10-01,107.05763678736652
2022-12-20,A3538840W,67379,"Professional, scientific and technical services",2022-10-01,113.84664774263314
2022-12-20,A3538846K,10927,Arts and recreation services,2022-10-01,105.67698259187621
