date,series_id,value,industry,quarter,index
2025-06-20,A3538807V,115417,Mining,2025-04-01,101.58874062599021
2025-06-20,A3538810J,109816,Manufacturing,2025-04-01,97.81855431345477
2025-06-20,A3538813R,27769,"Electricity, gas, water and waste services",2025-04-01,114.71949103528051
2025-06-20,A3538816W,109624,Construction,2025-04-01,95.7682496418213
2025-06-20,A3538819C,173468,Wholesale trade,2025-04-01,104.95719255785812
2025-06-20,A3538822T,143274,Retail trade,2025-04-01,110.76973033151906
2025-06-20,A3538825X,34705,Accommodation and food services,2025-04-01,111.14847553164233
2025-06-20,A3538828F,49586,"Transport, postal and warehousing",2025-04-01,122.01579763281576
2025-06-20,A3538831V,25088,Information media and telecommunications,2025-04-01,137.8916126195449
2025-06-20,A3538834A,21292,Financial and insurance services,2025-04-01,135.76484091054007
2025-06-20,A3538837J,32463,"Rental, hiring and real estate services",2025-04-01,112.91871021600751
2025-06-20,A3538840W,67262,"Professional, scientific and technical services",2025-04-01,113.64895917815626
2025-06-20,A3538846K,11733,Arts and recreation services,2025-04-01,113.47195357833655
2025-06-20,A3538849T,18670,Other services,2025-04-01,111.53593404623932
2025-09-20,A3538807V,117445,Mining,2025-07-01,103.37376333485899
2025-09-20,A3538810J,110851,Manufacturing,2025-07-01,98.74048011401594
2025-09-20,A3538813R,28226,"Electricity, gas, water and waste services",2025-07-01,116.60745269767826
2025-09-20,A3538816W,110920,Construction,2025-07-01,96.90044379215152
2025-09-20,A3538819C,173023,Wholesale trade,2025-07-01,104.6879443351989
2025-09-20,A3538822T,143511,Retail trade,2025-07-01,110.95296264225631
2025-09-20,A3538825X,34877,Accommodation and food services,2025-07-01,111.69933384575967
2025-09-20,A3538828F,50039,"Transport, postal and warehousing",2025-07-01,123.13049041561062
2025-09-20,A3538831V,25470,Information media and telecommunications,2025-07-01,139.99120589205234
2025-09-20,A3538834A,21913,Financial and insurance services,2025-07-01,139.7245424982465
2025-09-20,A3538837J,32962,"Rental, hiring and real estate services",2025-07-01,114.65442276253087
2025-09-20,A3538840W,66108,"Professional, scientific and technical services",2025-07-01,111.69910786699108
2025-09-20,A3538846K,11862,Arts and recreation services,2025-07-01,114.71953578336557
2025-09-20,A3538849T,18808,Other services,2025-07-01,112.3603560547225
2025-12-20,A3538807V,118569,Mining,2025-10-01,104.36309544766398
2025-12-20,A3538810J,112017,Manufacturing,2025-10-01,99.77909410769162
2025-12-20,A3538813R,28438,"Electricity, gas, water and waste services",2025-10-01,117.48326861108816
2025-12-20,A3538816W,111775,Construction,2025-10-01,97.64737743299438
2025-12-20,A3538819C,174542,Wholesale trade,2025-10-01,105.60701860535471
2025-12-20,A3538822T,144040,Retail trade,2025-10-01,111.36194952993567
2025-12-20,A3538825X,35165,Accommodation and food services,2025-10-01,112.62170125544453
2025-12-20,A3538828F,49789,"Transport, postal and warehousing",2025-10-01,122.51531779817417
2025-12-20,A3538831V,25837,Information media and telecommunications,2025-10-01,142.00835440255028
2025-12-20,A3538834A,21607,Financial and insurance services,2025-10-01,137.7733851941593
2025-12-20,A3538837J,33066,"Rental, hiring and real estate services",2025-10-01,115.01617447563393
2025-12-20,A3538840W,67438,"Professional, scientific and technical services",2025-10-01,113.9463368477967
2025-12-20,A3538846K,11761,Arts and recreation services,2025-10-01,113.74274661508704
2025-12-20,A3538849T,18884,Other services,2025-10-01,112.81438556664078
2026-03-20,A3538807V,114889,Mining,2026-01-01,101.12400098581136
2026-03-20,A3538810J,112397,Manufacturing,2026-01-01,100.11757894268027
2026-03-20,A3538813R,28346,"Electricity, gas, water and waste services",2026-01-01,117.10319755432538
2026-03-20,A3538816W,114185,Construction,2026-01-01,99.752769332914
2026-03-20,A3538819C,175355,Wholesale trade,2026-01-01,106.09892603237029
2026-03-20,A3538822T,143723,Retail trade,2026-01-01,111.11686665017318
2026-03-20,A3538825X,34964,Accommodation and food services,2026-01-01,111.9779656674353
2026-03-20,A3538828F,49820,"Transport, postal and warehousing",2026-01-01,122.59159920273629
2026-03-20,A3538831V,26189,Information media and telecommunications,2026-01-01,143.9430581510388
2026-03-20,A3538834A,22140,Financial and insurance services,2026-01-01,141.17196964866415
2026-03-20,A3538837J,33384,"Rental, hiring and real estate services",2026-01-01,116.1222999060837
2026-03-20,A3538840W,68476,"Professional, scientific and technical services",2026-01-01,115.70018924033522
2026-03-20,A3538846K,11740,Arts and recreation services,2026-01-01,113.53965183752418
2026-03-20,A3538849T,19086,Other services,2026-01-01,114.02114821673935
